meeting_id,meeting_name,start_time,end_time,room_required,participants,priority,department,capacity_needed
M080,Channel_Partner_Meet,10:00,13:00,Conf_Room_Partner,10,2,Partnerships,12
M081,Stock_Option_Grant_Comm,16:00,17:00,Boardroom_Gamma,6,3,Comp_Ben,8
M082,Health_Insurance_Renewal,11:00,12:00,Conf_Room_HR,4,2,Comp_Ben,5
M083,Team_Building_Escape_Room,16:00,19:00,Offsite_Location,20,1,Engineering,20
M084,Project_Falcon_Standup,09:15,09:30,Standup_Zone_A,8,1,Engineering,10
M085,Project_Eagle_Standup,09:15,09:30,Standup_Zone_B,12,1,Engineering,15
M086,Project_Hawk_Standup,09:15,09:30,Standup_Zone_C,6,1,Engineering,8
M087,Project_Viper_Standup,09:15,09:30,Standup_Zone_D,10,1,Engineering,12
M088,Backlog_Grooming_Falcon,14:00,15:30,Agile_Room_1,8,2,Engineering,10
M089,Backlog_Grooming_Eagle,14:00,15:30,Agile_Room_2,12,2,Engineering,15
M090,Release_Planning_Q4,10:00,16:00,Conf_Room_Big,25,3,Product,30
M091,Bug_Bash_v2.0,14:00,17:00,Open_Floor,30,2,QA,30
M092,Load_Testing_Review,11:00,12:00,Perf_Lab,5,2,QA,6
M093,Accessibility_Audit,10:00,11:30,UX_Lab,4,2,Design,5
M094,Design_System_Update,14:00,15:00,Design_Huddle,6,2,Design,8
M095,User_Research_Interviews,09:00,17:00,Zoom_Pod_2,1,2,Design,2
M096,Competitor_Analysis_DeepDive,11:00,12:30,Strategy_Room,6,2,Strategy,8
M097,Expansion_Plan_APAC,14:00,16:00,Boardroom_APAC,10,3,Strategy,12
M098,Office_Lease_Renewal,11:00,12:00,Conf_Room_Legal,4,3,Legal,5
M099,Laptop_Refresh_Logistics,10:00,11:00,IT_Store,3,1,IT_Support,4
M100,Biometric_System_Upgrade,19:00,21:00,Reception_Area,2,2,Security,0
M101,Cleaning_Schedule_Sync,08:30,09:00,Housekeeping_Room,5,1,Facilities,6
M102,Waste_Management_Review,15:00,15:30,Facilities_Desk,3,1,Facilities,4
M103,Pest_Control_Service,18:00,20:00,Cafeteria_Kitchen,2,2,Facilities,0
M104,Fire_Extinguisher_Check,09:00,17:00,All_Floors,2,2,Facilities,0
M105,AC_Duct_Cleaning,08:00,18:00,Server_Room_Main,4,3,Facilities,0
M106,Elevator_Maintenance,10:00,12:00,Lift_Lobby_A,2,3,Facilities,0
M107,Parking_Lot_Resurfacing,08:00,18:00,Basement_1,10,2,Facilities,0
M108,Visitor_Mgmt_System_Demo,11:00,12:00,Reception_Desk,3,1,Admin,4
M109,Courier_Vendor_Meet,14:00,14:30,Mail_Room,2,1,Admin,3
M110,Stationery_Stock_Check,16:00,17:00,Store_Room,2,1,Admin,3
M111,Meeting_Room_Tablet_Fix,09:00,11:00,Conf_Rooms_All,2,2,IT_Support,0
M112,Wifi_Access_Point_Install,18:00,20:00,Floor_5,3,2,IT_Support,0
M113,Printer_Config_Update,13:00,14:00,Print_Station,1,1,IT_Support,0
M114,New_Joinee_IT_Setup,08:30,10:00,IT_Desk,5,2,IT_Support,5
M115,VPN_Gateway_Patching,22:00,23:00,Remote_Access,2,3,IT_Infrastructure,0
M116,Cloud_Cost_Optimization,11:00,12:00,FinOps_Room,6,3,DevOps,8
M117,Disaster_Recovery_Drill,01:00,04:00,NOC_Room,10,3,DevOps,12
M118,SSL_Certificate_Renewal,10:00,10:30,DevOps_Desk,2,3,DevOps,3
M119,GitLab_CI_Pipeline_Fix,14:00,16:00,DevOps_Huddle,4,3,DevOps,5
M120,Docker_Training_Basics,10:00,12:00,Training_Hall_B,20,2,Engineering,25
M121,Microservices_Arch_Talk,14:00,15:00,Auditorium_Mini,40,2,Engineering,50
M122,Legacy_Code_Refactor_Plan,11:00,12:30,Whiteboard_Area,5,2,Engineering,6
M123,Tech_Debt_Review,15:00,16:00,Conf_Room_Tech,8,2,Engineering,10
M124,Open_Source_Contrib_Club,17:00,18:00,Community_Lounge,15,1,Engineering,20
M125,Python_User_Group_Meet,18:00,19:30,Cafeteria_Zone_3,30,1,Community,40
M126,Agile_Coach_Sync,10:00,11:00,Scrum_Master_Desk,5,2,Agile_Office,6
M127,SAFe_Training_Day1,09:00,17:00,Training_Hall_A,25,2,Agile_Office,30
M128,Jira_Workflow_Customization,14:00,15:00,Conf_Room_Agile,4,1,Agile_Office,5
M129,Confluence_Cleanup_Drive,15:00,17:00,Remote,10,1,Knowledge_Mgmt,0
M130,Technical_Writer_Interview,11:00,12:00,Zoom_Pod_3,2,2,Product,3
M131,Release_Note_Review_v2.4,14:00,15:00,Documentation_Desk,3,2,Product,4
M132,Video_Tutorial_Scripting,10:00,12:00,Quiet_Room,2,1,Product,3
M133,Translation_Vendor_Sync,16:00,16:30,Conf_Room_Global,3,1,Localization,4
