server_id,zone,current_load_percent,cpu_temp_celsius,memory_available_gb,network_bandwidth_percent,job_queue_size,status,response_time_ms
S131,Chennai-SIPCOT,86,78,4,90,180,heavy_load,350
S132,Delhi-NCR-Noida,40,51,32,44,18,active,64
S133,Gurgaon-CyberHub,95,88,0,99,450,critical,1300
S134,Mumbai-DC2,28,42,50,28,5,idle,40
S135,Bangalore-Whitefield,70,68,8,76,100,heavy_load,175
S136,Hyd-Gachibowli,48,56,26,50,25,active,76
S137,Pune-Magarpatta,10,30,64,8,0,idle,14
S138,Chennai-OMR,80,74,5,85,150,heavy_load,250
S139,Kolkata-SaltLake,54,58,22,58,35,active,88
S140,Trivandrum-Technopark,38,48,36,40,15,active,62
S141,Kochi-Infopark,91,84,2,95,280,critical,800
S142,Ahmedabad-GIFT,62,64,15,66,60,active,120
S143,Mumbai-DC1,18,37,60,18,2,idle,28
S144,Bangalore-ECity,76,72,6,82,130,heavy_load,210
S145,Hyd-HitechCity,45,54,28,50,24,active,72
S146,Pune-Hinjewadi,32,45,40,35,10,active,50
S147,Chennai-SIPCOT,88,80,3,92,200,heavy_load,480
S148,Delhi-NCR-Noida,55,60,18,60,40,active,95
S149,Gurgaon-CyberHub,97,90,0,100,550,critical,1800
S150,Mumbai-DC2,24,41,52,24,4,idle,35
S151,Bangalore-Whitefield,60,62,16,65,55,active,110
S152,Hyd-Gachibowli,8,30,120,4,0,maintenance,8
S153,Pune-Magarpatta,75,70,7,80,115,heavy_load,185
S154,Chennai-OMR,44,52,30,48,20,active,68
S155,Kolkata-SaltLake,85,76,4,88,165,heavy_load,300
S156,Trivandrum-Technopark,15,36,62,15,1,idle,24
S157,Kochi-Infopark,66,66,12,70,75,active,140
S158,Ahmedabad-GIFT,90,82,2,94,260,critical,750
S159,Mumbai-DC1,50,56,24,55,30,active,80
S160,Bangalore-ECity,25,40,55,25,4,idle,36
S161,Hyd-HitechCity,72,68,8,78,110,heavy_load,175
S162,Pune-Hinjewadi,36,47,38,40,12,active,58
S163,Chennai-SIPCOT,99,92,0,100,600,critical,2100
S164,Delhi-NCR-Noida,58,62,20,62,45,active,105
S165,Gurgaon-CyberHub,12,33,64,10,0,idle,16
S166,Mumbai-DC2,84,78,5,86,170,heavy_load,320
S167,Bangalore-Whitefield,42,50,32,45,18,active,65
S168,Hyd-Gachibowli,68,66,10,72,80,active,155
S169,Pune-Magarpatta,92,85,1,96,300,critical,900
S170,Chennai-OMR,30,44,45,30,8,idle,42
S171,Kolkata-SaltLake,78,72,6,84,135,heavy_load,220
S172,Trivandrum-Technopark,52,58,22,56,35,active,85
S173,Kochi-Infopark,82,75,4,87,155,heavy_load,260
S174,Ahmedabad-GIFT,20,38,58,20,2,idle,30
S175,Mumbai-DC1,64,64,15,68,62,active,130
S176,Bangalore-ECity,94,86,1,98,380,critical,1000
S177,Hyd-HitechCity,40,50,30,45,20,active,65
S178,Pune-Hinjewadi,55,60,18,60,40,active,92
S179,Chennai-SIPCOT,10,32,64,8,0,idle,15
S180,Delhi-NCR-Noida,89,79,3,92,220,overloaded,580
S181,Gurgaon-CyberHub,48,55,26,50,25,active,72
S182,Mumbai-DC2,70,68,8,76,100,heavy_load,175
S183,Bangalore-Whitefield,22,40,52,22,3,idle,32
S184,Hyd-Gachibowli,95,88,0,99,450,critical,1300
S185,Pune-Magarpatta,60,62,16,65,55,active,110
S186,Chennai-OMR,35,46,38,36,10,active,55
S187,Kolkata-SaltLake,74,70,7,80,120,heavy_load,190
S188,Trivandrum-Technopark,86,78,4,90,180,heavy_load,350
S189,Kochi-Infopark,5,28,128,2,0,maintenance,5
S190,Ahmedabad-GIFT,54,58,22,58,35,active,88
S191,Mumbai-DC1,98,90,0,100,600,critical,2200
S192,Bangalore-ECity,38,48,36,40,15,active,60
S193,Hyd-HitechCity,65,64,12,68,60,active,120
S194,Pune-Hinjewadi,18,37,60,18,2,idle,28
S195,Chennai-SIPCOT,80,74,5,85,150,heavy_load,250
S196,Delhi-NCR-Noida,45,54,28,50,24,active,72
S197,Gurgaon-CyberHub,91,84,2,95,280,critical,800
S198,Mumbai-DC2,56,60,18,60,40,active,95
S199,Bangalore-Whitefield,25,41,55,25,4,idle,38
S200,Hyd-Gachibowli,75,70,7,80,115,heavy_load,185
S201,Pune-Magarpatta,50,56,24,55,30,active,80
S202,Chennai-OMR,85,76,4,88,165,heavy_load,300
S203,Kolkata-SaltLake,15,36,62,15,1,idle,24
S204,Trivandrum-Technopark,62,64,15,66,60,active,120
S205,Kochi-Infopark,93,85,1,97,340,critical,920
S206,Ahmedabad-GIFT,30,45,45,30,6,idle,42
S207,Mumbai-DC1,76,72,6,82,130,heavy_load,210
S208,Bangalore-ECity,52,58,22,56,35,active,85
S209,Hyd-HitechCity,88,80,3,92,200,heavy_load,480
S210,Pune-Hinjewadi,40,51,32,44,18,active,64
S211,Chennai-SIPCOT,12,34,64,10,0,idle,18
S212,Delhi-NCR-Noida,96,88,0,99,500,critical,1500
S213,Gurgaon-CyberHub,58,62,20,62,45,active,105
S214,Mumbai-DC2,32,45,40,35,10,active,50
S215,Bangalore-Whitefield,68,66,10,72,80,active,150
S216,Hyd-Gachibowli,83,76,4,88,160,heavy_load,280
S217,Pune-Magarpatta,20,38,58,20,2,idle,30
S218,Chennai-OMR,46,55,26,50,25,active,72
S219,Kolkata-SaltLake,90,82,2,95,290,critical,800
S220,Trivandrum-Technopark,55,60,18,60,40,active,92
S221,Kochi-Infopark,10,30,64,5,0,idle,14
S222,Ahmedabad-GIFT,72,68,8,78,105,heavy_load,170
S223,Mumbai-DC1,97,90,0,100,550,critical,1800
S224,Bangalore-ECity,36,49,35,40,14,active,60
S225,Hyd-HitechCity,64,64,15,68,65,active,135
S226,Pune-Hinjewadi,82,75,4,87,155,heavy_load,260
S227,Chennai-SIPCOT,24,41,52,24,4,idle,35
S228,Delhi-NCR-Noida,50,56,24,52,30,active,78
S229,Gurgaon-CyberHub,8,30,120,5,0,maintenance,10
S230,Mumbai-DC2,92,85,1,96,310,critical,880
S231,Bangalore-Whitefield,42,52,30,45,20,active,68
S232,Hyd-Gachibowli,78,72,6,84,140,heavy_load,230
S233,Pune-Magarpatta,11,33,64,9,0,idle,16
S234,Chennai-OMR,60,62,16,65,55,active,110
S235,Kolkata-SaltLake,84,78,5,86,170,heavy_load,320
S236,Trivandrum-Technopark,28,42,50,28,5,idle,40
S237,Kochi-Infopark,48,56,26,50,25,active,76
S238,Ahmedabad-GIFT,95,87,1,98,380,critical,980
S239,Mumbai-DC1,55,60,19,58,38,active,95
S240,Bangalore-ECity,70,68,8,76,100,heavy_load,175
S241,Hyd-HitechCity,15,36,62,12,1,idle,22
S242,Pune-Hinjewadi,89,79,3,92,220,overloaded,580
S243,Chennai-SIPCOT,44,53,28,48,22,active,70
S244,Delhi-NCR-Noida,66,65,14,68,62,active,140
S245,Gurgaon-CyberHub,35,46,38,36,10,active,55
S246,Mumbai-DC2,94,86,1,98,380,critical,1050
S247,Bangalore-Whitefield,58,60,20,62,45,active,105
S248,Hyd-Gachibowli,74,70,7,80,120,heavy_load,190
S249,Pune-Magarpatta,22,40,52,22,3,idle,32
S250,Chennai-OMR,80,74,5,85,150,heavy_load,250
S251,Kolkata-SaltLake,30,44,45,30,8,idle,45
S252,Trivandrum-Technopark,54,58,22,58,35,active,88
S253,Kochi-Infopark,99,92,0,100,600,critical,2100
S254,Ahmedabad-GIFT,45,53,28,45,24,active,68
S255,Mumbai-DC1,86,78,4,90,180,heavy_load,350
S256,Bangalore-ECity,14,35,62,11,1,idle,20
S257,Hyd-HitechCity,65,65,10,70,80,active,145
S258,Pune-Hinjewadi,38,48,36,40,15,active,62
S259,Chennai-SIPCOT,91,84,2,95,280,critical,800
S260,Delhi-NCR-Noida,52,58,22,56,35,active,85
S261,Gurgaon-CyberHub,76,70,6,82,125,heavy_load,195
S262,Mumbai-DC2,25,40,54,25,4,idle,35
S263,Bangalore-Whitefield,59,62,18,62,45,active,105
S264,Hyd-Gachibowli,93,82,1,96,300,critical,850
S265,Pune-Magarpatta,40,51,32,44,18,active,64
S266,Chennai-OMR,79,72,5,84,140,heavy_load,210
S267,Kolkata-SaltLake,18,37,60,18,2,idle,28
S268,Trivandrum-Technopark,56,60,18,60,40,active,95
S269,Kochi-Infopark,88,80,3,92,200,heavy_load,480
S270,Ahmedabad-GIFT,32,45,42,32,8,active,45
S271,Mumbai-DC1,98,90,0,100,600,critical,2200
S272,Bangalore-ECity,60,60,16,65,50,active,100
S273,Hyd-HitechCity,24,41,52,24,4,idle,35
S274,Pune-Hinjewadi,85,76,4,88,165,heavy_load,300
S275,Chennai-SIPCOT,48,55,24,50,28,active,75
S276,Delhi-NCR-Noida,72,68,8,78,110,heavy_load,175
S277,Gurgaon-CyberHub,10,32,64,8,0,idle,15
S278,Mumbai-DC2,92,85,1,96,310,critical,880
S279,Bangalore-Whitefield,54,58,20,55,36,active,90
S280,Hyd-Gachibowli,35,45,38,36,10,active,55
S281,Pune-Magarpatta,83,76,4,88,160,heavy_load,280
S282,Chennai-OMR,22,40,50,22,3,idle,30
S283,Kolkata-SaltLake,62,64,15,66,60,active,120
S284,Trivandrum-Technopark,97,90,0,100,550,critical,1800
S285,Kochi-Infopark,40,50,30,45,20,active,65
S286,Ahmedabad-GIFT,75,70,7,80,115,heavy_load,185
S287,Mumbai-DC1,5,28,128,2,0,maintenance,5
S288,Bangalore-ECity,87,77,3,90,190,heavy_load,400
S289,Hyd-HitechCity,50,56,24,52,30,active,78
S290,Pune-Hinjewadi,28,42,50,28,5,idle,40
S291,Chennai-SIPCOT,96,8
