source_node,destination_node,pipe_diameter_mm,flow_capacity_liters_sec,pressure_psi,pipe_material,age_years
IT_Center,Server_Cooling,110,180,65,steel,2
IT_Center,Labs_UG,80,100,55,pvc,4
Alumni_Center,Event_Hall,90,120,58,pvc,6
Alumni_Center,Gift_Shop,50,40,48,pvc,6
Parking_A,Car_Wash,60,70,50,pvc,8
Gardening,Botanic_Garden,80,110,52,pvc,5
Gardening,Greenhouse_1,70,90,50,pvc,4
Gardening,Greenhouse_2,70,90,50,pvc,4
Main_Reservoir,Hydrant_Ring,180,450,80,steel,10
Hydrant_Ring,Hydrant_1,100,200,78,steel,10
Hydrant_Ring,Hydrant_2,100,200,78,steel,10
Hydrant_Ring,Hydrant_3,100,200,78,steel,10
Security,Gate_Main,50,40,45,pvc,15
Security,Gate_Back,50,40,45,pvc,14
Intl_Wing,Lang_Lab,75,90,54,pvc,3
Intl_Wing,Dorm_D,100,140,58,pvc,3
Architecture,Design_Studio,80,100,56,pvc,7
Architecture,Model_Shop,75,95,55,pvc,6
Media_School,Broadcast_Rm,70,85,54,pvc,5
Media_School,Edit_Suite,60,70,52,pvc,5
Psych_Dept,Behav_Lab,65,75,53,pvc,8
Math_Dept,Faculty_Rm,60,60,50,pvc,12
Math_Dept,Seminar_Rm,70,80,52,pvc,11
Solar_Farm,Panel_Clean,80,100,55,pvc,2
Waste_Plant,Recycle_Unit,120,180,60,steel,4
Waste_Plant,Compost_Yard,90,110,55,pvc,4
Backup_Res,Main_Res,250,600,70,steel,20
Old_Block,Museum,80,90,50,iron,30
Old_Block,Old_Lib,90,100,50,iron,32
New_Zone,Robotics,110,160,65,steel,1
New_Zone,AI_Center,120,200,66,steel,1
Transport,Bus_Garage,100,130,58,steel,10
Transport,Drivers_Area,60,50,45,pvc,10
Health_Ctr,Emergency,90,120,60,copper,5
Health_Ctr,Pharmacy,60,70,55,pvc,5
Student_Activity,Music_Club,65,75,52,pvc,4
Student_Activity,Dance_Studio,70,85,54,pvc,4
Post_Office,Sorting_Rm,60,60,50,pvc,20
Bank,ATM,50,30,45,pvc,10
Bank,Teller,60,50,48,pvc,10
Coop_Store,Grocery,70,80,52,pvc,8
Coop_Store,Stationery,60,60,50,pvc,8
Substation,Cooling_Sys,80,100,58,steel,12
Water_Plant,Main_Res,300,800,85,steel,5
Sewage_Plant,Discharge,250,400,40,concrete,15
Main_Res,Fountain,100,150,60,pvc,8
Fountain,Spout_N,50,40,45,copper,8
Fountain,Spout_S,50,40,45,copper,8
Meteorology,Rain_Gauge,40,20,40,pvc,5
Observatory,Telescope,60,60,50,steel,15
Amphitheater,Stage,80,100,55,pvc,10
Chem_Block,Hazmat_Store,70,80,55,steel,5
Physics_Block,Cryo_Storage,75,90,56,copper,4
Bio_Research,Greenhouse_Res,65,75,50,pvc,3
CS_Dept,Server_Room_1,80,100,58,steel,4
CS_Dept,Server_Room_2,80,100,58,steel,4
CS_Dept,AI_Lab,70,85,55,pvc,3
Mech_Labs,Welding_Shop,75,90,58,steel,6
Mech_Labs,CNC_Room,75,90,58,steel,6
Civil_Workshops,Soil_Lab,70,85,55,pvc,5
Civil_Workshops,Survey_Store,60,60,50,pvc,5
Admin_Block,HR_Dept,65,70,52,pvc,10
Admin_Block,Finance_Dept,65,70,52,pvc,10
Admin_Block,Conference_1,70,80,54,pvc,8
Admin_Block,Conference_2,70,80,54,pvc,8
Library_Zone,Digital_Lib,80,95,55,pvc,6
Library_Zone,Rare_Books,60,50,50,copper,10
Sports_Complex,Tennis_Court,50,40,45,pvc,5
Sports_Complex,Basketball,50,40,45,pvc,5
Sports_Complex,Hockey_Field,90,120,58,pvc,5
Housing_Zone,Hostel_Delta,110,160,58,pvc,2
Housing_Zone,Hostel_Epsilon,110,160,58,pvc,2
Hostel_Delta,Laundry_1,80,100,55,pvc,2
Hostel_Epsilon,Laundry_2,80,100,55,pvc,2
Staff_Qtrs_B,Block_B1,90,110,55,pvc,11
Staff_Qtrs_B,Block_B2,90,110,55,pvc,11
Staff_Qtrs_C,Block_C1,90,110,55,pvc,11
Main_Reservoir,Fire_Stn_Campus,150,300,75,steel,8
Fire_Stn_Campus,Truck_Fill,100,200,70,steel,8
Medical_Wing,Dental_Clinic,70,80,55,pvc,4
Medical_Wing,Physio_Center,75,90,56,pvc,4
Arts_Faculty,Music_Room,60,60,50,pvc,15
Arts_Faculty,Theater_Small,70,80,52,pvc,12
Main_Reservoir,Sector_North,200,450,70,steel,9
Sector_North,Lecture_Hall_N1,100,140,60,pvc,5
Sector_North,Lecture_Hall_N2,100,140,60,pvc,5
Sector_North,Lecture_Hall_N3,100,140,60,pvc,5
Main_Reservoir,Sector_South,200,450,70,steel,9
Sector_South,Lecture_Hall_S1,100,140,60,pvc,5
Sector_South,Lecture_Hall_S2,100,140,60,pvc,5
Sector_South,Lecture_Hall_S3,100,140,60,pvc,5
Student_Center,Union_Office,60,50,50,pvc,6
Student_Center,Game_Room,70,80,52,pvc,6
Geology_Dept,Rock_Museum,60,60,50,pvc,18
Geology_Dept,Seismic_Lab,70,80,55,steel,15
Aero_Dept,Wind_Tunnel,120,200,65,steel,3
Aero_Dept,Propulsion_Lab,100,150,62,steel,3
Agri_School,Tractor_Shed,60,50,45,pvc,7
Agri_School,Crop_Field_A,90,120,50,pvc,7
Agri_School,Crop_Field_B,90,120,50,pvc,7
Marine_Bio,Aquarium_Lg,100,150,58,pvc,4
Marine_Bio,Aquarium_Sm,80,100,55,pvc,4
Vet_Science,Clinic_Lg,90,110,56,pvc,6
Vet_Science,Clinic_Sm,70,80,54,pvc,6
Culinary_School,Kitchen_Main,100,150,60,copper,3
Culinary_School,Bakery_Lab,80,100,58,copper,3
Hotel_Mgmt,Mock_Suite,70,90,55,pvc,5
Hotel_Mgmt,Laundry_Lab,80,100,55,pvc,5
Fashion_Tech,Dyeing_Lab,90,110,58,pvc,4
Fashion_Tech,Textile_Lab,80,100,55,pvc,4
Main_Reservoir,Tech_Park,250,550,75,steel,2
Tech_Park,Incubator_A,120,200,65,steel,2
Tech_Park,Incubator_B,120,200,65,steel,2
Tech_Park,Incubator_C,120,200,65,steel,2
Tech_Park,Startup_1,80,100,60,pvc,1
Tech_Park,Startup_2,80,100,60,pvc,1
Tech_Park,Startup_3,80,100,60,pvc,1
Tech_Park,Startup_4,80,100,60,pvc,1
Tech_Park,Startup_5,80,100,60,pvc,1
Housing_Zone,Married_Scholars,100,140,58,pvc,5
Married_Scholars,Block_M1,80,100,55,pvc,5
Married_Scholars,Block_M2,80,100,55,pvc,5
Sports_Complex,Cricket_Ground,100,150,60,pvc,6
Sports_Complex,Pavilion,70,80,55,pvc,6
Library_Zone,Cafe_Lib,60,50,50,pvc,6
Library_Zone,Bindery,60,50,50,pvc,15
Admin_Block,Exam_Section,80,100,55,pvc,10
Admin_Block,Strong_Room,60,50,52,steel,10
Engineering_Block,Robo_Arena,90,120,60,steel,2
Engineering_Block,Maker_Space,80,100,58,pvc,2
Campus_Chapel,Prayer_Hall,70,80,50,pvc,20
Campus_Chapel,Washroom_Blk,60,70,50,pvc,20
Main_Reservoir,Cooling_Towers,250,600,80,steel,5
Cooling_Towers,Tower_1,150,300,75,steel,5
Cooling_Towers,Tower_2,150,300,75,steel,5
Cooling_Towers,Tower_3,150,300,75,steel,5
Main_Reservoir,Landscape_Irrig,150,250,50,pvc,8
Landscape_Irrig,Zone_1,80,100,45,pvc,8
Landscape_Irrig,Zone_2,80,100,45,pvc,8
Landscape_Irrig,Zone_3,80,100,45,pvc,8
Landscape_Irrig,Zone_4,80,100,45,pvc,8
Bio_Tech,Fermentation,90,120,60,steel,3
Bio_Tech,Genomics,80,100,58,pvc,3
Nano_Center,Clean_Room_1,70,90,62,steel,2
Nano_Center,Clean_Room_2,70,90,62,steel,2
Astro_Dept,Planetarium,90,110,55,pvc,10
Astro_Dept,Dark_Room,60,50,50,pvc,10
Social_Work,Community_Hall,80,100,55,pvc,7
Social_Work,Field_Office,60,50,50,pvc,7
Education_Dept,Smart_Class,70,80,52,pvc,5
Education_Dept,Media_Lab,70,80,52,pvc,5
Language_School,French_Dept,60,60,50,pvc,12
Language_School,German_Dept,60,60,50,pvc,12
Language_School,Spanish_Dept,60,60,50,pvc,12
Language_School,Asian_Dept,60,60,50,pvc,12
Philosophy_Dept,Library_Phil,60,50,50,pvc,20
Philosophy_Dept,Common_Room,60,50,50,pvc,20
Economics_Dept,Data_Lab,75,90,55,pvc,8
Economics_Dept,Seminar_Hall,80,100,55,pvc,8
PoliSci_Dept,Meeting_Room,60,50,50,pvc,10
PoliSci_Dept,Faculty_Lounge,60,50,50,pvc,10
Business_School,Stock_Trading_Lab,80,100,58,pvc,4
Business_School,Case_Study_Rm,70,90,55,pvc,4
Business_School,Exec_Ed_Wing,90,120,60,pvc,4
Engineering_Block,Solar_Car_Ws,80,100,58,steel,3
Engineering_Block,Formula_Student,80,100,58,steel,3
Housing_Zone,Gym_Residents,70,90,55,pvc,4
Housing_Zone,Common_Mess,120,250,60,steel,4
Main_Reservoir,Staff_Club,100,140,58,pvc,10
Staff_Club,Pool,120,200,60,pvc,10
Staff_Club,Kitchen,80,100,55,copper,10
Staff_Club,Bar,60,50,50,pvc,10
Main_Reservoir,Guest_House_VIP,100,130,60,pvc,6
Guest_House_VIP,Suite_1,50,40,50,copper,6
Guest_House_VIP,Suite_2,50,40,50,copper,6
Guest_House_VIP,Dining,70,80,55,pvc,6
Construction_Site,Temp_Supply,90,110,50,pvc,1
Construction_Site,Mixer_Point,60,50,50,hose,1
Construction_Site,Office_Porta,50,30,45,pvc,1
Ecological_Park,Wetland_1,100,120,40,pvc,5
Ecological_Park,Wetland_2,100,120,40,pvc,5
Ecological_Park,Bird_Watch,50,30,40,pvc,5
Main_Reservoir,East_Gate_Complex,110,150,65,steel,8
East_Gate,Guard_Room,60,50,50,pvc,8
East_Gate,Visitor_Ctr,80,100,55,pvc,8
Main_Reservoir,West_Gate_Complex,110,150,65,steel,8
West_Gate,Guard_Room,60,50,50,pvc,8
West_Gate,Waiting_Area,70,80,55,pvc,8
Statistics_Dept,Comp_Lab,75,90,55,pvc,7
Statistics_Dept,Consult_Rm,60,50,50,pvc,7
Urban_Plan,Studio_Large,80,100,55,pvc,6
Urban_Plan,GIS_Lab,80,100,58,pvc,6
Main_Reservoir,Power_Plant_Cogen,150,300,75,steel,10
Power_Plant,Turbine_Cool,120,200,70,steel,10
Power_Plant,Boiler_Feed,100,180,72,steel,10
Forensic_Sci,DNA_Lab,70,80,58,pvc,4
Forensic_Sci,Ballistics,70,80,58,steel,4
Nursing_School,Sim_Ward,80,100,56,pvc,5
Nursing_School,Skills_Lab,80,100,56,pvc,5
Pharmacy_Coll,Drug_Store,70,80,55,pvc,6
Pharmacy_Coll,Formulation,80,100,58,steel,6
Main_Reservoir,Convention_Ctr,180,400,70,steel,3
Convention_Ctr,Main_Hall,120,200,60,pvc,3
Convention_Ctr,Banquet,100,150,60,pvc,3
Convention_Ctr,Restrooms,90,120,55,pvc,3
Radio_Station,Transmitter,60,50,50,pvc,5
Radio_Station,Studio_1,50,40,45,pvc,5
Parking_Multi,Fire_System,100,200,75,steel,2
Parking_Multi,Washrooms,70,80,50,pvc,2
Main_Reservoir,Shopping_Arcade,120,200,60,pvc,4
Shopping_Arcade,Salon,60,50,50,pvc,4
Shopping_Arcade,Bookstore,60,50,50,pvc,4
Shopping_Arcade,Cafe,70,80,55,pvc,4
Shopping_Arcade,Pharmacy,60,50,50,pvc,4
Innovation_Center,3D_Print_Lab,80,90,58,pvc,2
Innovation_Center,VR_Lab,70,80,55,pvc,2
Campus_Farm,Dairy_Unit,90,120,55,pvc,8
Campus_Farm,Poultry_Unit,80,100,55,pvc,8
Campus_Farm,Silo_Area,60,50,50,pvc,8
Hostel_Zeta,Wing_A,90,110,55,pvc,1
Hostel_Zeta,Wing_B,90,110,55,pvc,1
Hostel_Eta,Wing_A,90,110,55,pvc,1
Hostel_Eta,Wing_B,90,110,55,pvc,1
Main_Reservoir,Research_Greenhouse,100,140,55,pvc,4
Res_Greenhouse,Climate_Chamber,70,80,50,pvc,4
Res_Greenhouse,Seed_Bank,60,50,50,pvc,4
Archeology_Dept,Artifact_Lab,70,80,52,pvc,15
Archeology_Dept,Storage,60,50,50,pvc,15
Main_Reservoir,Sports_Stadium,200,450,70,steel,5
Stadium,Locker_Room_Home,100,150,60,pvc,5
Stadium,Locker_Room_Away,100,150,60,pvc,5
Stadium,VIP_Box,80,100,58,copper,5
Stadium,Press_Box,60,50,50,pvc,5
Gymnasium,Weight_Room,70,90,55,pvc,6
Gymnasium,Cardio_Room,70,90,55,pvc,6
Gymnasium,Sauna,60,50,50,copper,6
Aviation_School,Hangar_1,100,150,65,steel,4
Aviation_School,Hangar_2,100,150,65,steel,4
Aviation_School,Simulator,70,80,55,pvc,4
Main_Reservoir,Data_Center_Main,150,300,72,steel,3
Data_Center,Cooling_Row_1,100,180,68,steel,3
Data_Center,Cooling_Row_2,100,180,68,steel,3
Data_Center,Fire_Suppress,120,250,80,steel,3
Enviro_Sci,Water_Test_Lab,70,80,55,pvc,6
Enviro_Sci,Air_Monitor,60,50,50,pvc,6
Main_Reservoir,Lake_Inlet,150,300,40,concrete,10
Lake,Overflow_Weir,150,300,30,concrete,10
Lake,Boat_House,60,50,45,pvc,10
Yoga_Center,Meditation_Hall,60,50,45,pvc,3
